OBJECTID,rotacja,sym,sym_w,X,Y
1,284,4,25,564920.825300000025891,245075.828100000013364
2,28,1,29,565007.055300000007264,244956.947400000004563
3,263,3,19,564947.808700000052340,244972.093599999992875
4,46,1,26,564950.807400000048801,244967.843800000002375
5,267,4,21,564953.144699999946170,244972.588500000012573
6,52,3,27,565660.728899999987334,244622.072799999994459
7,309,1,20,565657.784600000013597,244621.473700000002282
8,354,3,24,565957.052499999990687,244755.913900000014110
9,122,3,27,565962.047499999986030,244750.902200000011362
10,73,1,29,565969.597799999988638,244741.415600000007544
11,298,3,15,566036.000200000009499,244719.290100000012899
12,221,3,16,566044.754700000048615,244715.413200000009965
13,49,4,16,564452.789400000008754,245155.210599999991246
14,303,2,24,564918.146999999997206,244938.327799999999115
15,360,3,28,564922.750600000028498,244938.559000000008382
16,151,4,27,564914.329099999973550,244972.724400000006426
17,169,2,25,564521.568800000008196,244916.084299999987707
18,226,3,17,564524.497699999948964,244910.372499999997672
19,297,4,25,564540.795500000007451,244965.314899999997579
20,189,1,23,564541.117199999978766,244979.708899999997811
21,243,1,29,564479.750499999965541,244669.626300000003539
22,229,3,19,564663.998900000005960,244897.831500000000233
23,90,3,30,564909.797600000048988,245068.168999999994412
24,296,4,21,565682.048100000014529,244672.205599999986589
25,78,2,21,565683.697500000009313,244677.304600000003120
26,66,2,26,565685.315300000016578,244681.980699999985518
27,255,1,25,565686.924400000018068,244686.786499999987427
28,263,4,17,565677.367599999997765,244698.701899999985471
29,100,1,25,564534.855400000000373,244675.433900000003632
30,39,4,23,564530.658900000038557,244675.581700000009732
31,257,4,25,564525.919200000003912,244675.913299999985611
32,193,1,19,564522.376799999969080,244676.015000000013970
33,147,1,29,564511.232599999988452,244673.591199999995297
34,300,4,27,564508.638799999956973,244673.736899999988964
35,63,1,23,564505.337700000032783,244673.824900000006892
36,25,1,28,564502.536500000045635,244673.926500000001397
37,269,1,17,564494.289299999945797,244673.991600000008475
38,221,1,23,564540.671800000010990,244715.888399999996182
39,160,2,15,564544.769899999955669,244721.212399999989429
40,203,4,17,564543.898000000044703,244729.095999999990454
41,152,4,22,564541.903199999942444,244740.709899999987101
42,87,2,22,564542.157699999981560,244742.730099999986123
43,70,4,24,564549.172299999976531,244743.864000000001397
44,185,2,16,564576.549800000037067,244750.476800000004005
45,238,1,20,565121.521700000041164,244791.878100000001723
46,178,1,23,565126.378600000054576,244790.252500000002328
47,57,1,19,565610.123799999943003,244803.739800000010291
48,116,2,20,565616.854999999981374,244805.215100000001257
49,69,2,26,565617.345199999981560,244812.058799999998882
50,243,2,17,565614.040700000012293,244796.892800000001444
51,302,2,19,565621.044899999978952,244816.755100000009406
52,208,1,15,565620.027899999986403,244821.293700000009267
53,180,2,15,565630.997500000055879,244843.246099999989383
54,203,2,26,565654.825199999962933,244851.111999999993714
55,63,2,19,565649.870499999960884,244827.441699999995762
56,259,2,22,565828.380000000004657,244795.916399999987334
57,169,1,17,565820.553799999994226,244798.353499999997439
58,19,2,20,565844.001900000032037,244799.964100000011967
59,122,1,25,565847.385000000009313,244799.551100000011502
60,356,1,16,565845.618099999963306,244797.829499999992549
61,12,3,19,565849.395499999984168,244798.104200000001583
62,299,4,29,566084.196600000024773,244627.590999999985797
63,217,4,16,566091.241599999950267,244629.908800000004703
64,145,3,20,566078.964900000020862,244629.872499999997672
65,118,3,16,566079.609199999948032,244625.068399999989197
66,124,1,21,566097.293700000038370,244593.018699999985984
67,154,1,16,566092.952500000013970,244570.351200000004610
68,216,3,18,566092.560700000030920,244567.991199999989476
69,344,3,17,566091.898700000019744,244566.964999999996508
70,172,2,24,566091.132300000055693,244566.001900000002934
71,288,4,30,566089.686299999943003,244561.482599999988452
72,123,3,19,566081.598499999963678,244528.692199999990407
73,330,3,26,566081.660900000017136,244525.090800000005402
74,47,3,23,566081.962599999969825,244523.438599999994040
75,319,1,23,566082.375000000000000,244522.224400000006426
76,197,1,15,566082.338100000051782,244520.839799999987008
77,270,2,18,566081.953499999945052,244519.561900000000605
78,32,1,28,566076.460599999991246,244499.270699999993667
79,21,1,20,566103.785999999963678,244602.940999999991618
80,209,2,22,564912.322799999965355,244911.094500000006519
81,171,4,27,564634.570100000011735,245093.565600000001723
82,175,3,22,564637.235100000048988,245103.209899999987101
83,136,1,23,564637.653000000049360,245107.114100000006147
84,243,3,25,564640.038500000024214,245113.774999999994179
85,307,3,29,564642.199999999953434,245120.340700000000652
86,46,4,21,564636.878099999972619,245127.673999999999069
87,201,3,20,564597.210300000035204,245135.937199999985751
88,105,2,28,564605.526599999982864,245134.103999999992084
89,213,4,17,564608.772099999943748,245133.651699999987613
90,22,3,30,564617.317900000023656,245131.533599999995204
91,187,1,25,564627.402899999986403,245129.909799999993993
92,69,4,20,564664.404199999989942,244903.407500000001164
93,1,4,28,564663.397600000025705,244885.652100000006612
94,234,2,15,564593.518299999996088,244573.032600000005914
95,199,2,18,564740.981600000057369,245109.822400000004563
96,27,4,29,564593.268000000040047,244572.735300000000279
97,254,3,27,565773.586400000029244,244622.639100000000326
98,163,4,18,565776.092500000027940,244619.783300000010058
99,69,2,24,565779.004199999966659,244618.637500000011642
100,211,4,29,565905.388200000044890,244634.427800000004936
101,326,3,17,565895.033399999956600,244624.154899999994086
102,107,2,20,565897.915400000056252,244621.815200000011828
103,296,4,23,565893.616799999959767,244616.197199999995064
104,172,2,15,565891.511799999978393,244606.861000000004424
105,313,4,28,565601.860400000005029,244868.384300000005169
106,280,1,29,565604.358899999991991,244864.896999999997206
107,42,3,29,565607.013599999947473,244866.968900000007125
108,285,3,23,565611.783799999975599,244866.779600000008941
109,31,3,22,565616.608600000035949,244866.373699999996461
110,187,3,21,565605.690700000035577,244861.781799999997020
111,130,2,15,565609.205300000030547,244860.456299999990733
112,287,1,15,565612.432900000014342,244860.864100000006147
113,271,4,20,565613.656899999943562,244858.753200000006473
114,199,3,28,565621.853899999987334,244855.569900000002235
115,247,2,18,565977.747500000055879,244755.425900000002002
116,215,4,16,565402.698300000047311,244819.975199999986216
117,18,2,30,565403.522499999962747,244820.080900000000838
118,16,1,23,565403.270900000003166,244821.435999999986961
119,121,4,18,565405.615899999975227,244830.628200000006473
120,39,3,26,565406.020299999974668,244832.207800000003772
121,326,3,25,565392.480400000000373,244865.919099999999162
122,281,3,26,565360.946200000005774,244890.214600000006612
123,1,3,16,565366.342700000037439,244888.905700000002980
124,115,4,18,565368.530900000012480,244888.091699999989942
125,232,4,25,565367.800200000056066,244887.341400000004796
126,221,1,27,565366.857300000032410,244886.025900000007823
127,96,2,26,565368.938199999975041,244885.615300000004936
128,205,1,29,565367.625699999975041,244883.393500000005588
129,93,1,23,565757.690599999972619,244624.141600000002654
130,109,2,18,565691.965300000039861,244678.122299999988172
131,86,1,19,564813.099200000055134,244935.003900000010617
132,257,1,18,564812.403599999961443,244930.910700000007637
133,252,2,17,564803.847300000023097,244936.453500000003260
134,341,2,24,564785.253299999982119,244953.318399999989197
135,172,2,23,564795.068699999945238,244960.299800000007963
136,340,4,27,564794.075799999991432,244969.086700000014389
137,321,1,18,564862.878299999982119,245027.698299999989104
138,147,1,30,565486.154199999989942,244681.105699999985518
139,65,1,18,565490.456000000005588,244679.692999999999302
140,45,1,23,565493.897499999962747,244674.847100000013597
141,330,2,16,565492.130899999989197,244670.000700000004144
142,354,4,29,565482.999799999990501,244677.978600000002189
143,288,4,28,565485.551800000015646,244674.144300000014482
144,144,2,18,565488.273099999991246,244669.730600000009872
145,9,3,16,565486.938599999994040,244666.646000000007916
146,243,1,27,565491.003999999957159,244665.768199999991339
147,21,4,30,565503.785499999998137,244656.383800000010524
148,334,1,20,565500.954499999992549,244657.224599999986822
149,354,4,23,565497.115899999975227,244658.748699999996461
150,125,4,28,565490.222700000042096,244661.609200000006240
151,181,2,23,566051.972199999960139,244633.151000000012573
152,196,2,24,566051.256799999973737,244631.580400000006193
153,108,1,16,566123.743200000026263,244602.671700000006240
154,30,2,24,566132.116999999969266,244599.971099999995204
155,219,1,27,566122.549200000008568,244598.439799999992829
