idEwid,SRID,wkt
126102_9.0003.124/4,SRID=2180,"POLYGON((564637.953671156 245775.627828421,564640.191861798 245775.297873592,564637.278679413 245770.221312148,564629.416886339 245721.464834569,564631.157165011 245718.822211684,564632.834994276 245714.778321294,564634.106990502 245711.703280576,564634.598360569 245710.526781989,564636.52239789 245709.608582258,564639.580391477 245709.650477562,564652.462544604 245713.164506107,564654.692452558 245714.263915685,564657.070254585 245716.187048443,564658.333019976 245718.310257451,564659.592697043 245724.282271123,564661.86007943 245737.04931172,564663.652739517 245747.384340202,564667.672368175 245769.755538796,564667.998485685 245771.763693365,564667.568411614 245775.131200493,564665.929009332 245777.366643069,564662.508979376 245778.524703059,564661.102645124 245770.189443992,564658.563953405 245770.541343653,564650.786223249 245726.485754936,564653.116730958 245726.068297693,564651.523528739 245717.618067255,564637.992438008 245720.044939024,564648.877720591 245780.95888696,564639.037632776 245781.81507321,564637.953671156 245775.627828421))"
126102_9.0004.342/8,SRID=2180,"POLYGON((564857.914945289 245301.286278307,564856.940570006 245301.460131248,564856.43462977 245299.447161186,564857.077196672 245299.344400837,564856.551276512 245297.330895808,564860.759792211 245295.474148931,564862.424508529 245300.507283637,564857.914945289 245301.286278307))"
126102_9.0004.342/9,SRID=2180,"POLYGON((564856.940570006 245301.460131248,564848.323181807 245302.948900308,564840.810573455 245304.247313769,564856.551276512 245297.330895808,564857.077196672 245299.344400837,564856.43462977 245299.447161186,564856.940570006 245301.460131248))"
126102_9.0004.343/5,SRID=2180,"POLYGON((564847.784124336 245263.715780891,564848.249279395 245263.518296154,564853.560840652 245274.977250629,564860.759792211 245295.474148931,564856.551276512 245297.330895808,564847.784124336 245263.715780891))"
126102_9.0004.343/6,SRID=2180,"POLYGON((564838.937200392 245236.066810283,564846.025822923 245256.950639865,564847.784124336 245263.715780891,564842.497054539 245265.903545613,564806.769375928 245278.523005051,564801.233082749 245262.389382696,564799.063146721 245256.063091257,564794.742719233 245243.431023544,564790.975948682 245232.523287016,564787.713327381 245222.948668516,564810.498093244 245215.431081721,564833.322285564 245207.934543532,564832.956356101 245211.89360049,564834.384443312 245217.550216638,564838.587354214 245234.197979563,564838.937200392 245236.066810283),(564811.73513856 245222.622137907,564812.688673398 245225.466855343,564811.23567611 245225.967795185,564812.9717535 245231.32274695,564812.447193771 245231.498646904,564814.26345817 245236.845748645,564813.648453894 245237.039221144,564817.20694744 245247.511505976,564817.781724435 245247.326953514,564819.876823384 245253.461296317,564820.451600389 245253.276743865,564822.278389356 245258.604133477,564823.731119274 245258.113183735,564824.694911238 245260.948178947,564832.977710681 245258.140827927,564832.023641129 245255.316090078,564833.487430982 245254.785447974,564831.680086808 245249.478573051,564832.285903631 245249.254863222,564824.864123443 245227.37240008,564824.269099056 245227.566407573,564822.452834417 245222.219305709,564821.000639537 245222.690275726,564820.0168673 245219.854745719,564811.73513856 245222.622137907))"
126102_9.0004.344/5,SRID=2180,"POLYGON((564846.025822923 245256.950639865,564848.249279395 245263.518296154,564847.784124336 245263.715780891,564846.025822923 245256.950639865))"
126102_9.0004.344/6,SRID=2180,"POLYGON((564807.288422996 245280.046467049,564806.769375928 245278.523005051,564842.497054539 245265.903545613,564847.784124336 245263.715780891,564856.551276512 245297.330895808,564840.810573455 245304.247313769,564833.359335411 245305.867278072,564823.423824646 245282.657870442,564807.288422996 245280.046467049),(564848.82832338 245279.229272345,564830.558639596 245285.388175531,564833.980389094 245295.366941608,564841.637124888 245292.792756218,564842.157241891 245294.276258613,564844.992772388 245293.292487015,564844.542317566 245291.820846959,564852.230093415 245289.207504012,564848.82832338 245279.229272345))"
126102_9.0004.345/41,SRID=2180,"POLYGON((564851.154181167 245234.55445393,564852.987599381 245234.033708574,564856.863074033 245250.962622019,564855.873894116 245251.316026821,564851.154181167 245234.55445393))"
126102_9.0004.345/42,SRID=2180,"POLYGON((564852.987599381 245234.033708574,564887.541758788 245224.172015823,564892.80597775 245237.399193239,564880.693302517 245242.483313361,564856.863074033 245250.962622019,564852.987599381 245234.033708574))"
126102_9.0004.345/43,SRID=2180,"POLYGON((564858.448325022 245256.723418142,564856.147646767 245252.293076908,564855.873894116 245251.316026821,564856.863074033 245250.962622019,564858.448325022 245256.723418142))"
