idEwid,wkb
126102_9.0003.124/4,0103000000010000001f000000f49547e83b3b21413ee8ca057d000e41a8b53b62403b2141c08c0b627a000e416a11af8e3a3b2141af4d3fc551000e41502072d52a3b2141bf2ffbb7cbfe0d41adee77502e3b214129b8e393b6fe0d41a85e84ab313b2141bc83003a96fe0d418675c736343b21410f9151a07dfe0d4106515c32353b2141b779d93674fe0d417abc770b393b2141f85f60de6cfe0d41591229293f3b21417d942d346dfe0d4176a5d2ec583b2141ec93e85089fe0d41452489625d3b2141a0d37f1c92fe0d41b268f823623b21410c41137fa1fe0d41249881aa643b21412b42687bb2fe0d41a0fc752f673b2141cf5c1742e2fe0d41c0545cb86b3b2141068bfd6448ff0d41bddf334e6f3b2141b1f420139bff0d4135a44058773b21419dec570b4e000e41058439ff773b214157440b1c5e000e41dad80623773b214115d8b20c79000e41751ca7db733b2141b58fe2ee8a000e41ddf198046d3b21417484973294000e41d5e68d346a3b21413136fb8351000e412e80be20653b21412cfbab5454000e418cda8b92553b2141e07bd3e2f3fe0d41fe28c43b5a3b21412fa9df8bf0fe0d4179f50b0c573b2141b83ecdf1acfe0d41a7d520fc3b3b2141b3fd085cc0fe0d41e39764c1513b21412eedccaba7000e416c9a44133e3b2141661a4585ae000e41f49547e83b3b21413ee8ca057d000e41
126102_9.0004.342/8,010300000001000000080000007cb573d4f33c2141f1474c4aaaf10d414f6492e1f13c2141b04a59aeabf10d4110cb87def03c21416f3ec9939bf10d417b528627f23c2141dd3955c19af10d413cea401af13c21418eb3aca58af10d41147c0385f93c214141980ecb7bf10d41922e59d9fc3c214136b9ea0ea4f10d417cb573d4f33c2141f1474c4aaaf10d41
126102_9.0004.342/9,010300000001000000070000004f6492e1f13c2141b04a59aeabf10d41f71578a5e03c2141700b5997b7f10d41e07b039fd13c21412ea47ffac1f10d413cea401af13c21418eb3aca58af10d417b528627f23c2141dd3955c19af10d4110cb87def03c21416f3ec9939bf10d414f6492e1f13c2141b04a59aeabf10d41
126102_9.0004.343/5,01030000000100000006000000b6be7891df3c2141f054ebb97df00d41828ca17fe03c2141397478257cf00d418581261feb3c21411cc768d1d7f00d41147c0385f93c214141980ecb7bf10d413cea401af13c21418eb3aca58af10d41b6be7891df3c2141f054ebb97df00d41
126102_9.0004.343/6,01030000000200000010000000d3bad8dfcd3c214164d4d388a0ef0d4184a9380ddc3c2141d412e99a47f00d41b6be7891df3c2141f054ebb97df00d41bbee7dfed43c2141521f763a8ff00d4142a4eb898d3c2141ae451d2ff4f00d41409f5677823c2141c8ac741d73f00d415bc454207e3c21412cfd358140f00d4100b2457c753c2141ca78bc72dbef0d41b08baff36d3c2141611ab12f84ef0d41193f396d673c2141d884df9637ef0d41e31306ff943c21412df9da72fbee0d410b9d02a5c23c214195f5f179bfee0d41c281a7e9c13c214182031826dfee0d41f8c0d5c4c43c21410ffbd7660cef0d4109b1b92ccd3c2141234f769591ef0d41d3bad8dfcd3c214164d4d388a0ef0d4119000000d2146478973c2141617023fa34ef0d41b4cc9960993c214171a71ebc4bef0d41028aaa78963c2141e6660bbe4fef0d41bdac89f1993c2141595afc947aef0d41fb94f6e4983c214187963afd7bef0d4140fde3869c3c214197dd17c4a6ef0d411726024c9b3c2141d62c5350a8ef0d41ce03f569a23c2141f5719017fcef0d41662f3e90a33c2141d0cd999dfaef0d419dfeeec0a73c21419a1fbcb02bf00d418b2a38e7a83c2141cc7cc5362af00d41b70c898eac3c2141b1ee43d554f00d41f7435576af3c2141c2dfcce750f00d41e267cb63b13c214101d8de9567f00d41907e96f4c13c214167646a2051f00d41a8b01a0cc03c21411d3c5a873af00d41bd8d90f9c23c214188f2984836f00d418e56345cbf3c2141961b1ed40bf00d41f2f56192c03c21419cbaf5090af00d414f636ebab13c2141a5e4acfa5aef0d41fa59c789b03c214192b100885cef0d41a7e9d9e7ac3c2141005a23c131ef0d414dd35300aa3c2141a347af8535ef0d41acd4a208a83c21416cec84d61eef0d41d2146478973c2141617023fa34ef0d41
126102_9.0004.344/5,0103000000010000000400000084a9380ddc3c2141d412e99a47f00d41828ca17fe03c2141397478257cf00d41b6be7891df3c2141f054ebb97df00d4184a9380ddc3c2141d412e99a47f00d41
126102_9.0004.344/6,01030000000200000009000000ce2dac938e3c2141be1d2a5f00f10d4142a4eb898d3c2141ae451d2ff4f00d41bbee7dfed43c2141521f763a8ff00d41b6be7891df3c2141f054ebb97df00d413cea401af13c21418eb3aca58af10d41e07b039fd13c21412ea47ffac1f10d419dcffab7c23c21415e7c2ff0cef10d41448bffd8ae3c21410b94514315f10d41ce2dac938e3c2141be1d2a5f00f10d410900000087001aa8e13c21413dbd8cd5f9f00d415602061ebd3c2141d6c5fb1a2bf10d41308ff5f5c33c2141ef147fef7af10d41bb3b3546d33c21417092905766f10d4157028250d43c21416113c73572f10d4196a94cfcd93c21419f6e03576af10d41e4a5aa15d93c2141df3518915ef10d41d9cdce75e83c21410bddf7a849f10d4187001aa8e13c21413dbd8cd5f9f00d41
126102_9.0004.345/41,010300000001000000050000007cd5f04ee63c2141c48a856f94ef0d4146a0a6f9e93c21413700094590ef0d41f4d6e4b9f13c2141502c73b317f00d41b10c6fbfef3c2141e71139871af00d417cd5f04ee63c2141c48a856f94ef0d41
126102_9.0004.345/42,0103000000010000000600000046a0a6f9e93c21413700094590ef0d416a6861152f3d2141f1d4496041ef0d419b1da99c393d214192398c31abef0d41298cf862213d21413a65d3ddd3ef0d41f4d6e4b9f13c2141502c73b317f00d4146a0a6f9e93c21413700094590ef0d41
126102_9.0004.345/43,0103000000010000000500000077db8ae5f43c21416a738fc945f00d41675b984bf03c2141b9b4385822f00d41b10c6fbfef3c2141e71139871af00d41f4d6e4b9f13c2141502c73b317f00d4177db8ae5f43c21416a738fc945f00d41
